#	PLAYER	TEAM	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	EFF
42	Tyrese Haliburton	IND	51	33.6	20.1	7.2	14.9	48.2	2.8	7.1	39.8	2.9	3.4	86.0	0.6	3.1	3.7	10.1	1.7	0.5	2.5	25.4
43	Jrue Holiday	MIL	51	32.8	19.8	7.5	15.9	47.2	2.4	6.4	37.7	2.3	2.7	86.1	1.2	4.0	5.1	7.2	1.2	0.4	2.9	21.9
44	Paolo Banchero	ORL	56	33.7	19.7	6.5	15.4	41.9	1.1	4.0	27.1	5.6	7.5	75.2	1.1	5.5	6.6	3.6	0.9	0.5	2.7	17.8
45	RJ Barrett	NYK	57	34.0	19.5	6.9	16.0	42.9	1.8	5.4	33.4	3.9	5.3	75.0	0.9	4.2	5.1	2.8	0.5	0.2	2.3	15.2
46	Fred VanVleet	TOR	51	36.9	19.4	6.3	16.2	39.0	3.0	8.7	33.9	3.7	4.2	89.3	0.5	3.8	4.4	6.7	1.6	0.6	1.9	20.4
47	Franz Wagner	ORL	62	33.1	18.8	6.8	14.1	48.5	1.7	4.5	36.9	3.5	4.2	83.5	0.9	3.0	4.0	3.4	0.9	0.2	2.1	17.3
48	Domantas Sabonis	SAC	59	34.5	18.8	7.1	11.5	61.4	0.4	1.2	34.8	4.2	5.5	76.7	3.0	9.4	12.4	6.9	0.8	0.5	3.0	30.7
49	Deandre Ayton	PHX	54	30.4	18.7	8.1	13.8	59.2	0.1	0.4	30.4	2.2	3.0	74.2	2.8	7.5	10.2	2.0	0.6	0.8	1.9	24.0
50	Gary Trent Jr.	TOR	54	33.5	18.4	6.4	14.8	43.4	2.7	7.3	36.8	2.9	3.4	84.2	0.4	2.2	2.6	1.6	1.6	0.3	1.0	14.7
51	Myles Turner	IND	53	29.9	18.2	6.5	11.9	54.9	1.7	4.2	40.3	3.5	4.4	78.6	1.5	6.4	8.0	1.3	0.6	2.3	1.6	22.5
52	Mikal Bridges	BKN	63	36.0	17.9	6.5	13.8	47.0	1.9	4.7	39.7	3.0	3.4	90.1	1.0	3.4	4.4	3.5	1.2	0.8	1.4	18.7
53	Nikola Vucevic	CHI	63	33.8	17.7	7.3	14.2	51.3	1.6	4.6	34.9	1.6	2.0	81.3	2.0	9.3	11.3	3.3	0.7	0.8	1.7	24.8
54	D'Angelo Russell	LAL	58	32.4	17.6	6.2	13.3	46.4	2.7	6.8	38.9	2.6	3.1	85.0	0.5	2.6	3.1	6.1	1.1	0.4	2.6	18.0
55	Spencer Dinwiddie	BKN	61	34.0	17.5	5.8	13.0	44.8	2.5	6.4	39.3	3.4	4.0	83.0	0.3	2.8	3.2	5.4	0.8	0.3	1.8	17.5
56	Christian Wood	DAL	51	27.2	17.5	6.4	12.2	52.2	1.7	4.6	36.8	3.1	4.1	76.6	1.3	6.6	8.0	1.7	0.4	1.2	1.9	20.1
57	Buddy Hield	IND	63	32.0	17.3	6.1	13.4	45.3	3.8	8.9	42.6	1.4	1.6	85.3	0.8	4.1	4.9	2.7	1.2	0.3	1.8	17.0
58	Bennedict Mathurin	IND	63	28.2	17.1	5.4	12.7	42.8	1.4	4.3	32.2	4.9	5.9	83.0	1.1	3.0	4.1	1.4	0.6	0.1	1.8	13.3
59	Michael Porter Jr.	DEN	46	29.2	17.0	6.3	13.0	48.2	3.0	7.3	41.0	1.5	1.8	80.0	0.9	4.5	5.4	1.0	0.7	0.5	1.1	16.3
60	Aaron Gordon	DEN	51	30.1	17.0	6.5	11.1	58.5	1.0	2.6	38.2	3.0	4.8	62.2	2.4	4.5	6.8	3.0	0.8	0.8	1.6	20.3
61	Norman Powell	LAC	53	25.9	16.9	5.6	11.7	48.0	2.1	4.9	42.1	3.6	4.5	80.3	0.4	2.6	2.9	1.8	0.8	0.3	1.7	14.1
62	Jaren Jackson Jr.	MEM	44	27.3	16.7	6.0	12.1	49.3	1.5	4.4	34.4	3.3	4.1	79.1	1.7	4.9	6.6	0.8	1.1	3.3	1.5	20.0
63	O.G. Anunoby	TOR	49	35.7	16.4	6.1	13.4	45.4	1.8	5.1	35.9	2.4	2.9	82.3	1.5	4.0	5.4	2.0	2.0	0.8	2.2	16.6
64	Josh Giddey	OKC	57	30.7	16.1	7.0	14.4	48.5	0.9	2.9	30.7	1.2	1.7	74.0	2.0	5.7	7.7	5.9	0.7	0.5	3.0	20.1
65	Russell Westbrook	LAC	55	28.8	15.9	5.9	13.9	42.2	1.2	4.0	30.2	3.0	4.5	66.7	1.1	5.0	6.1	7.6	1.1	0.4	3.6	18.1
66	Evan Mobley	CLE	63	34.2	15.9	6.5	11.9	54.9	0.3	1.3	21.4	2.5	3.7	69.0	2.3	6.6	8.9	2.6	0.8	1.3	2.0	21.0
67	De'Andre Hunter	ATL	52	31.8	15.6	5.6	12.1	46.1	1.6	4.3	36.7	2.8	3.4	83.0	0.6	3.7	4.3	1.4	0.5	0.2	1.2	13.8
68	Scottie Barnes	TOR	60	35.3	15.5	6.0	13.2	45.1	1.0	3.1	30.6	2.6	3.4	76.2	2.4	4.7	7.1	4.8	1.0	0.9	2.0	19.1
69	Jaden Ivey	DET	58	30.1	15.4	5.2	12.3	42.2	1.4	4.2	33.9	3.5	4.9	72.3	1.0	2.9	3.9	4.6	0.9	0.3	2.9	13.7
70	Tobias Harris	PHI	57	33.7	15.3	6.1	12.1	50.0	1.8	4.7	38.2	1.4	1.6	85.9	0.9	4.9	5.8	2.6	1.0	0.5	1.2	17.7
71	P.J. Washington	CHA	60	32.9	15.3	5.8	13.0	44.4	2.0	5.8	35.0	1.7	2.3	74.8	1.0	3.7	4.8	2.4	0.9	1.1	1.4	15.2
72	Harrison Barnes	SAC	61	32.7	15.0	4.6	9.7	47.2	1.7	4.4	37.8	4.2	5.0	83.8	1.0	3.7	4.7	1.7	0.8	0.1	1.1	15.2
73	Alperen Sengun	HOU	57	28.2	14.8	5.8	10.5	55.3	0.2	0.7	31.0	2.9	3.9	73.7	3.2	5.5	8.6	3.9	0.8	0.9	2.5	20.8
74	Brook Lopez	MIL	61	30.3	14.7	5.6	11.0	51.0	1.8	4.9	37.7	1.6	2.1	76.3	2.0	4.6	6.6	1.2	0.5	2.4	1.4	18.1
75	Kevin Huerter	SAC	58	30.2	14.7	5.4	11.3	47.9	2.6	6.7	38.7	1.3	1.8	70.5	0.6	2.8	3.4	3.0	1.1	0.3	1.5	14.6
76	Jarrett Allen	CLE	58	33.3	14.7	6.1	9.4	65.2	0.0	0.2	11.1	2.4	3.3	73.1	3.2	6.7	9.9	1.6	0.8	1.2	1.4	22.6
